Insight Version,1.0.5.2,,,,,,
Generation Time,12/7/2022 18:23,,,,,,
Date From,12/7/2022 10:28,,,,,,
Date To,12/7/2022 18:23,,,,,,
,,,,,,,
GMP251,U3730359,1.3.4,,,,,
,,,,,,,
GMP251,U3930116,1.3.4,,,,,
,,,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,,,
12/7/2022 10:55,13.444652,8.200135,,,,,
12/7/2022 10:55,13.444378,8.197484,,,,,
12/7/2022 10:55,13.444216,8.192724,,,,,
12/7/2022 10:55,13.443242,8.186709,,,,,
12/7/2022 10:55,13.441862,8.170505,,,,,
12/7/2022 10:55,13.435712,8.161617,,,,,
12/7/2022 10:55,13.420225,8.15385,,,,,
12/7/2022 10:55,13.410306,8.153312,,,,,
12/7/2022 10:55,13.408344,8.152498,,,,,
12/7/2022 10:56,13.400769,8.151531,,,,,
12/7/2022 10:56,13.396217,8.147605,,,,,
12/7/2022 10:56,13.390316,8.138308,,,,,
12/7/2022 10:56,13.38589,8.127078,,,,,
12/7/2022 10:56,13.38127,8.110515,,,,,
12/7/2022 10:56,13.378431,8.101173,,,,,
12/7/2022 10:56,13.379766,8.099566,,,,,
12/7/2022 10:56,13.379634,8.098441,,,,,
12/7/2022 10:56,13.37285,8.097006,,,,,
12/7/2022 10:56,13.370289,8.095985,,,,,
12/7/2022 10:56,13.368975,8.094258,,,,,
12/7/2022 10:56,13.358772,8.093087,,,,,
12/7/2022 10:57,13.350923,8.091167,,,,,
12/7/2022 10:57,13.336934,8.088421,,,,,
12/7/2022 10:57,13.3357,8.082213,,,,,
12/7/2022 10:57,13.3342,8.08018,,,,,
12/7/2022 10:57,13.334478,8.076095,,,,,
12/7/2022 10:57,13.33371,8.072154,,,,,
12/7/2022 10:57,13.332522,8.070384,,,,,
12/7/2022 10:57,13.331338,8.064946,,,,,
12/7/2022 10:57,13.331206,8.060852,,,,,
12/7/2022 10:57,13.327084,8.057461,,,,,
12/7/2022 10:57,13.31857,8.056584,,,,,
12/7/2022 10:57,13.313214,8.052202,,,,,
12/7/2022 10:58,13.309456,8.048243,,,,,
12/7/2022 10:58,13.30843,8.038814,,,,,
12/7/2022 10:58,13.30801,8.035481,,,,,
12/7/2022 10:58,13.305769,8.03057,,,,,
12/7/2022 10:58,13.2977,8.027948,,,,,
12/7/2022 10:58,13.29684,8.025284,,,,,
12/7/2022 10:58,13.296661,7.99872,,,,,
12/7/2022 10:58,13.296647,7.983535,,,,,
12/7/2022 10:58,13.296616,7.982196,,,,,
12/7/2022 10:58,13.296416,7.98198,,,,,
12/7/2022 10:58,13.290414,7.985045,,,,,
12/7/2022 10:58,13.277942,7.988259,,,,,
12/7/2022 10:59,13.270366,7.987032,,,,,
12/7/2022 10:59,13.252094,7.985504,,,,,
12/7/2022 10:59,13.251475,7.98264,,,,,
12/7/2022 10:59,13.25096,7.973842,,,,,
12/7/2022 10:59,13.251702,7.963163,,,,,
12/7/2022 10:59,13.252866,7.956841,,,,,
12/7/2022 10:59,13.253381,7.947281,,,,,
12/7/2022 10:59,13.254716,7.946505,,,,,
12/7/2022 10:59,13.245264,7.942086,,,,,
12/7/2022 10:59,13.23304,7.932257,,,,,
