Group 2,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Date,Time,Status,Current,Press,Mfm2,Refelec,VoltSup,
,,,Instantaneous value,Instantaneous value,Average,Instantaneous value,Instantaneous value,
,,,A,Bar,Ln/min,V,V,
07.12.2022,06:59:05,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:06,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:07,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:08,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:09,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:10,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:11,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:12,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:13,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:14,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:15,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:16,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:17,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:18,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:19,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:20,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:21,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:22,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:23,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:24,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:25,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:26,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:27,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:28,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:29,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:30,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:31,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:32,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:33,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:34,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:35,OK,0.01,-0.008,0,0,0.13,
