Timestamp,Current (A),Gas_Flow_Rate (m3/h),CO2_in (%),CO2_out (%)
0:06:33,4.5,0.5,15.115516,11.826218
0:06:34,4.5,0.5,15.114434,11.808711
0:06:35,4.5,0.5,15.113555,11.777128
0:06:36,4.5,0.5,15.11859,11.72288
0:06:37,4.5,0.5,15.13005,11.709157
0:06:38,4.5,0.5,15.138358,11.702539
0:06:39,4.5,0.5,15.14165,11.701799
0:06:40,4.5,0.5,15.141005,11.703202
0:06:41,4.5,0.5,15.14049,11.703416
0:06:42,4.5,0.5,15.137806,11.696416
0:06:43,4.5,0.5,15.137034,11.689327
0:06:44,4.5,0.5,15.138466,11.681445
0:06:45,4.5,0.5,15.139412,11.677226
0:06:46,4.5,0.5,15.149866,11.676318
0:06:47,4.5,0.5,15.156633,11.682284
0:06:48,4.5,0.5,15.15666,11.686534
0:06:49,4.5,0.5,15.156669,11.686922
0:06:50,4.5,0.5,15.15674,11.689053
0:06:51,4.5,0.5,15.156231,11.695229
0:06:52,4.5,0.5,15.150403,11.694746
0:06:53,4.5,0.5,15.150519,11.688593
0:06:54,4.5,0.5,15.152353,11.687924
0:06:55,4.5,0.5,15.151431,11.687913
0:06:56,4.5,0.5,15.151098,11.687223
0:06:57,4.5,0.5,15.151097,11.686476
0:06:58,4.5,0.5,15.151131,11.687473
0:06:59,4.5,0.5,15.154516,11.690881
0:07:00,4.5,0.5,15.155275,11.691583
0:07:01,4.5,0.5,15.156136,11.691277
0:07:02,4.5,0.5,15.165972,11.69119
0:07:03,4.5,0.5,15.181538,11.691134
0:07:04,4.5,0.5,15.187069,11.688187
0:07:05,4.5,0.5,15.1904,11.679789
0:07:06,4.5,0.5,15.190447,11.647768
0:07:07,4.5,0.5,15.18164,11.645784
0:07:08,4.5,0.5,15.175375,11.66158
0:07:09,4.5,0.5,15.173495,11.671781
0:07:10,4.5,0.5,15.154472,11.677351
0:07:11,4.5,0.5,15.131597,11.680893
0:07:12,4.5,0.5,15.131073,11.689909
0:07:13,4.5,0.5,15.13536,11.694162
0:07:14,4.5,0.5,15.13584,11.697402
0:07:15,4.5,0.5,15.135844,11.699444
0:07:16,4.5,0.5,15.135788,11.69949
0:07:17,4.5,0.5,15.135534,11.699684
0:07:18,4.5,0.5,15.137181,11.701005
0:07:19,4.5,0.5,15.149638,11.715508
0:07:20,4.5,0.5,15.1603,11.723744
0:07:21,4.5,0.5,15.159777,11.724273
0:07:22,4.5,0.5,15.159172,11.724369
0:07:23,4.5,0.5,15.15937,11.724389
0:07:24,4.5,0.5,15.164288,11.724666
0:07:25,4.5,0.5,15.166997,11.725513
0:07:26,4.5,0.5,15.167044,11.726615
0:07:27,4.5,0.5,15.164769,11.733409
0:07:28,4.5,0.5,15.173531,11.737733
0:07:29,4.5,0.5,15.179875,11.737763
0:07:30,4.5,0.5,15.186966,11.737918
0:07:31,4.5,0.5,15.204036,11.739298
0:07:32,4.5,0.5,15.215822,11.739584
0:07:33,4.5,0.5,15.22411,11.740354
0:07:34,4.5,0.5,15.224403,11.743059
0:07:35,4.5,0.5,15.221,11.750682
0:07:36,4.5,0.5,15.220034,11.756025
0:07:37,4.5,0.5,15.209094,11.761623
0:07:38,4.5,0.5,15.199506,11.771072
0:07:39,4.5,0.5,15.182331,11.767722
0:07:40,4.5,0.5,15.177006,11.764652
0:07:41,4.5,0.5,15.181903,11.768012
0:07:42,4.5,0.5,15.188128,11.768516
0:07:43,4.5,0.5,15.191422,11.765253
0:07:44,4.5,0.5,15.192706,11.761295
0:07:45,4.5,0.5,15.192256,11.758946
0:07:46,4.5,0.5,15.188456,11.758333
0:07:47,4.5,0.5,15.18775,11.754888
0:07:48,4.5,0.5,15.187956,11.750155
0:07:49,4.5,0.5,15.188869,11.739987
0:07:50,4.5,0.5,15.188805,11.736061
0:07:51,4.5,0.5,15.188747,11.734798
0:07:52,4.5,0.5,15.189272,11.734236
0:07:53,4.5,0.5,15.189725,11.729086
0:07:54,4.5,0.5,15.187572,11.719977
0:07:55,4.5,0.5,15.178147,11.719032
0:07:56,4.5,0.5,15.17696,11.719628
0:07:57,4.5,0.5,15.176544,11.719874
0:07:58,4.5,0.5,15.176325,11.719816
0:07:59,4.5,0.5,15.175119,11.719777
0:08:00,4.5,0.5,15.172711,11.717498
0:08:01,4.5,0.5,15.171772,11.710234
0:08:02,4.5,0.5,15.171211,11.70527
0:08:03,4.5,0.5,15.164656,11.704173
0:08:04,4.5,0.5,15.163906,11.704327
0:08:05,4.5,0.5,15.164397,11.704162
0:08:06,4.5,0.5,15.170388,11.704027
0:08:07,4.5,0.5,15.175734,11.70439
0:08:08,4.5,0.5,15.175112,11.704346
0:08:09,4.5,0.5,15.177848,11.704338
0:08:10,4.5,0.5,15.177914,11.704494
0:08:11,4.5,0.5,15.177756,11.704238
0:08:12,4.5,0.5,15.177966,11.703855
0:08:13,4.5,0.5,15.178117,11.706297
0:08:14,4.5,0.5,15.181245,11.708684
0:08:15,4.5,0.5,15.187645,11.710002
0:08:16,4.5,0.5,15.19761,11.710993
0:08:17,4.5,0.5,15.206202,11.711209
0:08:18,4.5,0.5,15.215812,11.711208
0:08:19,4.5,0.5,15.226155,11.710464
0:08:20,4.5,0.5,15.243881,11.706345
0:08:21,4.5,0.5,15.243422,11.702839
0:08:22,4.5,0.5,15.22484,11.705086
0:08:23,4.5,0.5,15.223031,11.709445
0:08:24,4.5,0.5,15.224347,11.713924
0:08:25,4.5,0.5,15.229094,11.720653
0:08:26,4.5,0.5,15.228138,11.724777
0:08:27,4.5,0.5,15.215412,11.723524
0:08:28,4.5,0.5,15.211394,11.723098
0:08:29,4.5,0.5,15.206022,11.726786
